1	14	-78	4
2	44	-64	4
3	18	-76	32
4	10	-74	0
5	18	-92	16
6	34	-86	2
7	32	-72	-14
8	32	-22	56
9	40	-24	52
10	42	-4	50
11	46	2	36
12	48	2	46
13	20	-86	28
14	6	-36	26
15	12	-68	38
16	28	-78	34
17	28	-70	38
18	40	-54	-18
19	30	-76	22
20	42	-80	4
21	44	-80	-4
22	42	-80	-10
23	46	-68	8
24	44	-22	10
25	62	-38	24
26	8	18	62
27	6	-50	50
28	58	-42	20
29	8	-66	52
30	6	-62	38
31	12	-54	16
32	4	-22	40
33	6	-52	22
34	4	-38	32
35	8	-46	32
36	8	-40	64
37	12	-38	54
38	10	-30	42
39	12	-44	70
40	8	-16	50
41	8	-4	44
42	20	-48	66
43	6	4	58
44	18	6	66
45	10	-58	60
46	16	-68	56
47	34	-46	60
48	28	-54	54
49	22	-58	60
50	26	-64	48
51	48	-24	52
52	38	-32	52
53	36	-18	44
54	36	-10	62
55	16	-12	68
56	60	4	30
57	4	-2	38
58	4	6	30
59	4	18	32
60	10	12	40
61	6	38	-4
62	10	40	24
63	6	28	46
64	10	50	0
65	8	50	-8
66	34	34	-12
67	38	20	46
68	24	28	44
69	6	52	22
70	12	40	50
71	18	50	34
72	10	66	8
73	42	18	36
74	52	20	10
75	52	30	4
76	46	34	-14
77	40	52	-6
78	52	8	16
79	44	16	26
80	42	10	28
81	46	26	20
82	44	38	8
83	44	32	26
84	34	38	30
85	38	50	10
86	28	48	22
87	18	60	20
88	6	52	-14
89	22	58	-6
90	14	62	-12
91	26	48	-12
92	24	30	-16
93	12	34	-22
94	32	22	-18
95	32	-54	46
96	26	0	54
97	32	12	54
98	20	20	58
99	56	0	10
100	56	-10	14
101	46	-20	18
102	38	-16	20
103	40	-20	0
104	44	-32	16
105	50	-26	22
106	40	-2	-2
107	52	2	-4
108	38	16	8
109	38	10	0
110	30	6	-18
111	34	22	-4
112	36	12	-12
113	48	6	4
114	36	8	12
115	42	0	14
116	56	-22	40
117	38	-38	46
118	20	-16	-28
119	18	-30	-10
120	28	-22	-16
121	20	-48	2
122	30	-8	-34
123	52	14	-16
124	58	-18	8
125	60	-16	-2
126	22	-34	-16
127	32	-38	-14
128	52	-4	-14
129	48	-26	-2
130	58	-30	-4
131	42	14	-34
132	62	-8	-22
133	60	-42	-10
134	56	-18	-28
135	40	-22	-26
136	50	-44	-18
137	58	-54	-2
138	46	-62	-8
139	52	-42	10
140	52	-56	8
141	46	-64	18
142	20	-66	28
143	44	-76	24
144	44	-44	44
145	36	-64	42
146	36	-74	30
147	60	-18	26
148	60	-30	36
149	52	-48	42
150	50	-58	26
151	46	-66	38
152	22	-80	42
153	18	-52	-8
154	28	-60	-10
155	30	-34	-14
156	46	-74	0
157	48	-62	-2
158	36	-82	16
159	46	-74	10
160	28	-52	-6
161	10	-52	38
162	8	-40	40
163	32	-48	-18
164	4	20	-14
165	6	36	-12
166	14	12	-18
167	38	-8	-6
168	38	-10	12
169	40	28	4
170	24	58	6
171	44	44	-2
172	40	-2	-44
173	46	-14	2
174	50	-24	10
175	64	-16	6
176	54	-10	-16
177	64	-26	-14
178	46	0	-14
179	10	28	30
180	4	34	18
181	-10	-82	2
182	-44	-68	8
183	-14	-78	30
184	-6	-78	-2
185	-24	-92	6
186	-30	-90	0
187	-30	-74	-14
188	-26	-26	54
189	-40	-24	50
190	-38	-2	50
191	-46	0	38
192	-46	0	48
193	-16	-88	26
194	-4	-36	26
195	-10	-70	36
196	-22	-82	32
197	-22	-74	38
198	-42	-60	-16
199	-26	-80	20
200	-38	-84	6
201	-42	-84	-2
202	-38	-80	-12
203	-46	-74	10
204	-42	-24	10
205	-56	-44	24
206	-8	14	64
207	-6	-52	50
208	-58	-48	16
209	-6	-64	50
210	-4	-62	36
211	-10	-58	14
212	-2	-20	36
213	-6	-54	20
214	-2	-38	30
215	-8	-48	32
216	-4	-40	62
217	-14	-38	50
218	-8	-30	42
219	-12	-44	68
220	-8	-18	48
221	-8	-4	44
222	-20	-52	64
223	-6	2	56
224	-16	4	66
225	-10	-56	60
226	-14	-68	54
227	-32	-50	58
228	-28	-54	54
229	-20	-60	60
230	-22	-66	48
231	-48	-26	52
232	-38	-36	54
233	-34	-20	44
234	-32	-12	64
235	-14	-12	70
236	-56	4	34
237	-2	-4	38
238	-2	6	30
239	-4	18	30
240	-8	14	38
241	-4	40	-2
242	-8	40	26
243	-4	30	46
244	-10	50	0
245	-8	52	-8
246	-34	32	-14
247	-36	18	48
248	-22	28	42
249	-6	52	24
250	-10	34	54
251	-16	46	38
252	-12	66	10
253	-42	16	36
254	-50	18	10
255	-50	28	4
256	-46	30	-10
257	-40	48	-12
258	-52	6	18
259	-42	14	26
260	-42	4	30
261	-44	22	22
262	-44	34	12
263	-42	30	28
264	-34	38	28
265	-36	50	10
266	-28	46	22
267	-18	56	26
268	-4	54	-14
269	-26	56	-2
270	-14	62	-10
271	-26	48	-12
272	-22	28	-18
273	-12	34	-22
274	-32	20	-18
275	-30	-56	46
276	-24	-2	54
277	-28	10	54
278	-20	18	56
279	-56	0	8
280	-56	-12	14
281	-46	-24	18
282	-36	-18	18
283	-38	-22	0
284	-38	-34	18
285	-50	-32	22
286	-40	-4	-2
287	-50	2	-6
288	-40	14	6
289	-36	10	0
290	-30	4	-16
291	-32	22	-4
292	-32	12	-14
293	-50	2	4
294	-36	4	12
295	-42	-4	14
296	-54	-28	38
297	-36	-42	44
298	-20	-16	-28
299	-16	-32	-10
300	-26	-26	-14
301	-18	-52	2
302	-30	-10	-32
303	-52	10	-16
304	-54	-26	8
305	-60	-18	-2
306	-20	-38	-14
307	-30	-42	-14
308	-52	-6	-12
309	-52	-32	0
310	-56	-34	-4
311	-42	10	-36
312	-60	-10	-20
313	-58	-46	-10
314	-56	-22	-28
315	-44	-20	-26
316	-48	-46	-18
317	-56	-58	0
318	-44	-64	-6
319	-54	-46	10
320	-48	-60	12
321	-44	-70	18
322	-16	-70	30
323	-38	-82	26
324	-40	-50	44
325	-30	-66	42
326	-30	-76	30
327	-60	-22	26
328	-58	-38	32
329	-50	-54	42
330	-46	-60	26
331	-40	-72	38
332	-18	-84	40
333	-20	-54	-6
334	-28	-60	-10
335	-28	-36	-14
336	-44	-78	2
337	-46	-66	2
338	-34	-86	14
339	-44	-78	12
340	-26	-54	-6
341	-10	-50	38
342	-6	-38	42
343	-32	-50	-18
344	-4	20	-14
345	-6	34	-12
346	-14	10	-18
347	-38	-14	-2
348	-36	-12	14
349	-38	26	4
350	-22	58	8
351	-42	44	2
352	-40	-2	-42
353	-46	-16	2
354	-44	-30	8
355	-62	-24	8
356	-54	-10	-16
357	-62	-30	-14
358	-44	-2	-14
359	-8	30	30
360	-6	36	16
361	-20	-2	-20
362	20	-4	-20
363	-26	-4	-20
364	28	-4	-20
365	-22	-14	-20
366	22	-12	-20
367	-28	-30	-10
368	28	-28	-10
369	-12	14	0
370	16	14	-4
371	-22	-2	4
372	22	-2	4
373	-16	4	-10
374	14	8	-8
375	-22	6	-4
376	22	8	-2
377	-14	2	16
378	14	6	14
379	-28	-6	2
380	30	-4	2
381	-6	-14	4
382	6	-12	6
383	-20	-18	4
384	12	-14	0
385	-16	-22	2
386	18	-22	2
387	-4	-12	8
388	2	-12	6
389	-14	-24	8
390	14	-26	8
391	-14	-30	4
392	14	-28	8
393	-10	-22	14
394	8	-16	14
395	-10	-16	2
396	12	-16	6
397	-6	-42	-18
398	10	-42	-18
399	-14	-50	-18
400	14	-50	-18
401	-22	-58	-24
402	0	-70	-20
403	24	-58	-24
404	-36	-68	-32
405	-4	-78	-26
406	36	-68	-32
407	-26	-74	-42
408	0	-74	-32
409	26	-76	-40
410	-26	-66	-50
411	0	-68	-32
412	28	-66	-50
413	-24	-56	-52
414	0	-66	-38
415	26	-58	-52
416	-16	-50	-54
417	0	-64	-42
418	18	-50	-54
419	-6	-52	-48
420	0	-56	-38
421	6	-52	-48
422	-20	-36	-44
423	0	-48	-36
424	22	-38	-46
